start,end,shop,pos,equipment,reason,job,duration,note
2018-04-21 10:00:00,2018-04-21 10:15:00,ЦЛП R250,730,Толкающий распределяющий конвейер,,замена,0.25,направляющих цепи
2019-01-04 07:00:00,2019-01-04 07:45:00,ЛСБ,5,Питатель с механизмом сброса 2,,замена звена,0.75,тяговой цепи
2019-01-05 16:20:00,2019-01-05 16:50:00,ЛСБ,1,Грузовой стол 1,,замена звена,0.5,тяговой цепи
2019-01-06 21:30:00,2019-01-06 23:30:00,ЦСС,,накопительный карман №11,,замена звена,2.0,отремнтировано во время работы тяговой цепи
2019-01-06 21:30:00,2019-01-06 23:30:00,ЦСС,,накопительный карман №11,,замена,2.0,отремнтировано во время работы 2х опорных роликов
2019-01-07 19:00:00,2019-01-07 19:25:00,ЦСС,,накопительный карман №9,,клык,0.42,во время технологического простоя 
2019-01-07 19:00:00,2019-01-07 19:25:00,ЦСС,,накопительный карман №9,,сварочные работы,0.42,во время технологического простоя работы
2019-01-08 08:30:00,2019-01-08 09:30:00,ЦЛП R250,620,дуговой конвейер,,замена звена,1.0,приводной цепи
2019-01-08 08:30:00,2019-01-08 09:30:00,ЦЛП R250,620,дуговой конвейер,,регулировка,1.0,приводной звездочки
2019-01-09 12:00:00,2019-01-09 14:00:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,замена,2.0,опорного ролика
2019-01-09 12:00:00,2019-01-09 14:00:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,установка,2.0,сбрасывателя 9 накопительного кармана
2019-01-10 08:00:00,2019-01-10 08:15:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,установка,0.25,усиливающей накладки на моторредуктор
2019-01-11 18:00:00,2019-01-11 19:30:00,ЦСС,,накопительный карман №6,,клык,1.5,
2019-01-11 18:00:00,2019-01-11 19:30:00,ЦСС,,накопительный карман №6,,сварочные работы,1.5,работы
2019-01-12 21:30:00,2019-01-12 21:45:00,,43,ЦЛП  Стол поперечный вибрационный подачи горбыля и отходов,,натяжка,0.25,во время технологического простоя приводных ремней
2019-01-13 17:30:00,2019-01-13 18:00:00,ЛСБ,1,Грузовой стол 1,,замена звена,0.5,тяговой цепи
2019-01-14 08:00:00,2019-01-14 12:00:00,,2,ЦЛП  Питатель с механизмом сброса,,замена,4.0,во время технологического простоя гидронасоса; замена электромагнитного клапана
2019-01-15 10:00:00,2019-01-15 16:00:00,ЦТГ,510,Конвейер-Элеватор,,замена звена,6.0,транспортерной ленты
2019-01-16 10:00:00,2019-01-16 12:00:00,ЛСБ,10,Транспортер ленточный подачи бревен,,прошивка,2.0,стыка транспортерной ленты
2019-01-17 12:00:00,2019-01-17 13:00:00,ЦСС,21,Упаковочная машина+пакетоформирующий пресс,,снятие,1.0,упаковочного узла
2019-01-18 10:15:00,2019-01-18 10:30:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,замена,0.25,крепления гидроцилиндра
2019-01-20 13:20:00,2019-01-20 14:40:00,ЛСБ,3,"Транспортёр отходов цепной, скребковый 1",,сход,1.33,тяговых цепей
2019-01-21 08:00:00,2019-01-21 12:00:00,ЛСБ,10,Транспортер ленточный подачи бревен,,склеивание,4.0,транспортерной ленты
2019-01-22 13:00:00,2019-01-22 16:30:00,ЦТГ,520,Сито для гранул,,установка,3.5,гофры на трубопровод
2019-01-23 13:30:00,2019-01-23 14:10:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,протяжка,0.67,болтов крепления подшипниковой опоры ведущего вала
2019-01-24 09:00:00,2019-01-24 09:20:00,ЦТГ,,компрессор KAESER,,замена,0.33,приводного ремня
2019-01-26 08:30:00,2019-01-26 09:10:00,ЛСБ,1,Грузовой стол 1,,замена звена,0.67,тяговой цепи
2019-01-27 10:20:00,2019-01-27 11:15:00,ЦЛП R250,360,Скребковый конвейер,,снятие,0.92,скребка
2019-01-27 10:20:00,2019-01-27 11:15:00,ЦЛП R250,360,Скребковый конвейер,,замена,0.92,звеньев
2019-01-28 10:40:00,2019-01-28 19:10:00,ЦСС,18,Пакета-формирующая машина,,замена,8.5,креплений роликов
2019-01-28 10:40:00,2019-01-28 19:10:00,ЦСС,18,Пакета-формирующая машина,,выравнивание,8.5,креплений роликов
2019-01-29 10:00:00,2019-01-29 16:00:00,ЦТГ,360,Пресс-Гранулятор CPM CALIFORNIA 7932-5,,замена,6.0,??? шланга РВД
2019-01-29 10:00:00,2019-01-29 16:00:00,ЦТГ,360,Пресс-Гранулятор CPM CALIFORNIA 7932-5,,установка,6.0,??? крана
2019-01-29 10:00:00,2019-01-29 16:00:00,ЦТГ,360,Пресс-Гранулятор CPM CALIFORNIA 7932-5,,система,6.0,??? смазки роликов
2019-01-30 12:00:00,2019-01-30 13:00:00,ЦСС,18,Пакета-формирующая машина,,замена,1.0,регулировочных шпилек приводных цепей механизма перемещения вил
2019-01-31 10:20:00,2019-01-31 10:35:00,ЛСБ,5,Питатель с механизмом сброса 2,,сварочные работы,0.25,работы
2019-01-31 10:20:00,2019-01-31 10:35:00,ЛСБ,5,Питатель с механизмом сброса 2,,толкатель,0.25,бревна
